accident_id,age,sex,inj_sev,drinking,alc_res,drugs,drugres1,drugres2,drugres3,air_bag,veh_no,mod_year,make,county_name,day,month,year,hour,minute,latitude,longitud,sp_jur_lit,man_coll_lit,lgt_cond_lit,weather_lit,fatals,date,dead
2016040001,33.0,Male,Suspected Serious Injury (A),1.0,261.0,Unknown,Not Reported,Test Not Given,Test Not Given,Deployed-Front,1,2006.0,12,PINAL,2.0,1.0,2016.0,13.0,54.0,33.05111667,-111.64591389,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1.0,2016-01-02 13:54:00,0
2016040001,26.0,Male,Suspected Minor Injury (B),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployed-Front,1,2006.0,12,PINAL,2.0,1.0,2016.0,13.0,54.0,33.05111667,-111.64591389,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1.0,2016-01-02 13:54:00,0
2016040001,36.0,Female,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2006.0,12,PINAL,2.0,1.0,2016.0,13.0,54.0,33.05111667,-111.64591389,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1.0,2016-01-02 13:54:00,1
2016040001,10.0,Female,Suspected Minor Injury (B),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2006.0,12,PINAL,2.0,1.0,2016.0,13.0,54.0,33.05111667,-111.64591389,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1.0,2016-01-02 13:54:00,0
2016040001,23.0,Male,Suspected Minor Injury (B),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2006.0,12,PINAL,2.0,1.0,2016.0,13.0,54.0,33.05111667,-111.64591389,Indian Reservation,Not a Collision with Motor Vehicle In-Transport,Daylight,Clear,1.0,2016-01-02 13:54:00,0
2016040003,18.0,Female,Fatal Injury (K),0.0,0.0,Unknown,"Tested, No Drugs Found/Negative",Test Not Given,Test Not Given,Not Deployed,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,1
2016040003,41.0,Male,Possible Injury (C),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,0
2016040003,38.0,Female,Suspected Serious Injury (A),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,0
2016040003,0.0,Male,Suspected Serious Injury (A),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,0
2016040003,13.0,Male,Possible Injury (C),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,0
2016040003,35.0,Female,Possible Injury (C),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2015.0,37,MARICOPA,3.0,1.0,2016.0,6.0,56.0,33.44480833,-112.70283611,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dawn,Clear,1.0,2016-01-03 06:56:00,0
2016040004,22.0,Male,Possible Injury (C),9.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployment-Unknown Location,1,2001.0,24,PIMA,7.0,1.0,2016.0,22.0,22.0,32.20631111,-110.94048611,No Special Jurisdiction,Angle,Dark - Lighted,Rain,1.0,2016-01-07 22:22:00,0
2016040004,20.0,Male,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployment-Unknown Location,1,2001.0,24,PIMA,7.0,1.0,2016.0,22.0,22.0,32.20631111,-110.94048611,No Special Jurisdiction,Angle,Dark - Lighted,Rain,1.0,2016-01-07 22:22:00,1
2016040004,22.0,Male,Possible Injury (C),9.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployment-Unknown Location,2,2006.0,55,PIMA,7.0,1.0,2016.0,22.0,22.0,32.20631111,-110.94048611,No Special Jurisdiction,Angle,Dark - Lighted,Rain,1.0,2016-01-07 22:22:00,0
2016040004,19.0,Female,Possible Injury (C),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,2,2006.0,55,PIMA,7.0,1.0,2016.0,22.0,22.0,32.20631111,-110.94048611,No Special Jurisdiction,Angle,Dark - Lighted,Rain,1.0,2016-01-07 22:22:00,0
2016040004,21.0,Male,Possible Injury (C),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployment-Unknown Location,2,2006.0,55,PIMA,7.0,1.0,2016.0,22.0,22.0,32.20631111,-110.94048611,No Special Jurisdiction,Angle,Dark - Lighted,Rain,1.0,2016-01-07 22:22:00,0
2016040005,32.0,Male,Fatal Injury (K),9.0,180.0,Unknown,"Tested, No Drugs Found/Negative",Test Not Given,Test Not Given,Deployed-Front,1,2004.0,2,MARICOPA,10.0,1.0,2016.0,1.0,1.0,33.63611944,-112.4182,No Special Jurisdiction,Front-to-Front,Dark - Lighted,Clear,2.0,2016-01-10 01:01:00,1
2016040005,32.0,Male,Fatal Injury (K),9.0,0.0,Unknown,"Tested, No Drugs Found/Negative",Test Not Given,Test Not Given,Deployed-Combination,2,2015.0,49,MARICOPA,10.0,1.0,2016.0,1.0,1.0,33.63611944,-112.4182,No Special Jurisdiction,Front-to-Front,Dark - Lighted,Clear,2.0,2016-01-10 01:01:00,1
2016040006,34.0,Female,No Apparent Injury (O),0.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2008.0,34,MARICOPA,9.0,1.0,2016.0,18.0,34.0,33.63832222,-112.09962778,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Cloudy,1.0,2016-01-09 18:34:00,0
2016040006,45.0,Female,No Apparent Injury (O),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2008.0,34,MARICOPA,9.0,1.0,2016.0,18.0,34.0,33.63832222,-112.09962778,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Cloudy,1.0,2016-01-09 18:34:00,0
2016040007,25.0,Female,Suspected Minor Injury (B),1.0,127.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployed-Front,1,1996.0,49,YUMA,10.0,1.0,2016.0,1.0,32.0,32.71319722,-114.606475,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,2.0,2016-01-10 01:32:00,0
2016040007,41.0,Female,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,1996.0,49,YUMA,10.0,1.0,2016.0,1.0,32.0,32.71319722,-114.606475,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,2.0,2016-01-10 01:32:00,1
2016040007,21.0,Female,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployed-Front,1,1996.0,49,YUMA,10.0,1.0,2016.0,1.0,32.0,32.71319722,-114.606475,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,2.0,2016-01-10 01:32:00,1
2016040008,24.0,Male,No Apparent Injury (O),0.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Deployed,1,2003.0,12,MARICOPA,11.0,1.0,2016.0,19.0,49.0,33.66915,-112.10244722,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1.0,2016-01-11 19:49:00,0
2016040008,32.0,Male,No Apparent Injury (O),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2003.0,12,MARICOPA,11.0,1.0,2016.0,19.0,49.0,33.66915,-112.10244722,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1.0,2016-01-11 19:49:00,0
2016040008,65.0,Male,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Not Applicable,1,2003.0,12,MARICOPA,11.0,1.0,2016.0,19.0,49.0,33.66915,-112.10244722,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,1.0,2016-01-11 19:49:00,1
2016040009,39.0,Female,Fatal Injury (K),9.0,190.0,Unknown,"Tested, No Drugs Found/Negative",Test Not Given,Test Not Given,Deployment Unknown,1,2001.0,38,MARICOPA,13.0,1.0,2016.0,21.0,22.0,33.46257778,-112.22957222,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,5.0,2016-01-13 21:22:00,1
2016040009,9.0,Male,Fatal Injury (K),8.0,0.0,Unknown,Test Not Given,Test Not Given,Test Not Given,Deployment Unknown,1,2001.0,38,MARICOPA,13.0,1.0,2016.0,21.0,22.0,33.46257778,-112.22957222,No Special Jurisdiction,Not a Collision with Motor Vehicle In-Transport,Dark - Lighted,Clear,5.0,2016-01-13 21:22:00,1
